day,traj,well,blancas,mCherry,leuB GPF,metA,pct_F,pct_L,pct_M,TOTAL,dilucion,vol inoculado (20ul),total_CFU
1,A,A1,548,4,142,406,0.7246376812,25.72463768,73.55072464,552,1.00E+04,20,"110,400,000"
1,B,B3,434,6,315,119,1.363636364,71.59090909,27.04545455,440,1.00E+04,20,"88,000,000"
1,C,C3,1183,4,122,1061,0.3369839933,10.27801179,89.38500421,1187,1.00E+04,20,"237,400,000"
1,D,D1,1278,80,73,1205,5.8910162,5.375552283,88.73343152,1358,1.00E+04,20,"271,600,000"
1,E,E1,155,11,76,79,6.626506024,45.78313253,47.59036145,166,1.00E+04,20,"33,200,000"
2,AA,A1,1182,0,237,945,0,20.05076142,79.94923858,1182,1.00E+04,20,"236,400,000"
2,EE,E5,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,1.00E+04,20,0
2,BB,B1,1245,119,1149,96,8.724340176,84.23753666,7.038123167,1364,1.00E+04,20,"272,800,000"
2,BC,B5,387,0,269,118,0,69.50904393,30.49095607,387,1.00E+04,20,"77,400,000"
2,BD,B9,282,47,200,82,14.28571429,60.79027356,24.92401216,329,1.00E+04,20,"65,800,000"
2,CC,C1,1414,0,166,1248,0,11.7397454,88.2602546,1414,1.00E+04,20,"282,800,000"
2,BC,C5,409,121,316,93,22.83018868,59.62264151,17.54716981,530,1.00E+04,20,"106,000,000"
2,DC,C9,690,0,84,606,0,12.17391304,87.82608696,690,1.00E+04,20,"138,000,000"
2,DD,D1,1660,259,12,1648,13.49661282,0.6253256905,85.87806149,1919,1.00E+04,20,"383,800,000"
2,BD,D5,648,88,20,628,11.95652174,2.717391304,85.32608696,736,1.00E+04,20,"147,200,000"
2,CD,D9,754,2,35,719,0.2645502646,4.62962963,95.10582011,756,1.00E+04,20,"151,200,000"
3,AAA,A1,480,13,45,435,2.636916836,9.127789047,88.23529412,493,1.00E+04,20,"98,600,000"
3,EEE,A5,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,1.00E+04,20,0
3,BBB,B1,378,93,235,143,19.74522293,49.89384289,30.36093418,471,1.00E+04,20,"94,200,000"
3,BBD,C1,214,0,109,105,0,50.93457944,49.06542056,214,1.00E+04,20,"42,800,000"
3,BDB,P2-A5,204,128,143,61,38.55421687,43.07228916,18.37349398,332,1.00E+04,20,"66,400,000"
3,BDC,P2-B5,161,0,13,148,0,8.074534161,91.92546584,161,1.00E+04,20,"32,200,000"
3,BDD,P2-C5,1077,131,0,1077,10.84437086,0,89.15562914,1208,1.00E+04,20,"241,600,000"
3,CDB,P2-A9,1284,3,1,1283,0.2331002331,0.0777000777,99.68919969,1287,1.00E+04,20,"257,400,000"
3,CDC,P2-B9,90,5,88,2,5.263157895,92.63157895,2.105263158,95,1.00E+04,20,"19,000,000"
3,CDD,P2-C9,241,0,9,232,0,3.734439834,96.26556017,241,1.00E+04,20,"48,200,000"
3,,P2D9,1663,4,4,1659,0.2399520096,0.2399520096,99.52009598,1667,1.00E+04,20,"333,400,000"
3,DDB,P2-A1,59,90,39,20,60.40268456,26.17449664,13.42281879,149,1.00E+04,20,"29,800,000"
3,DDC,P2-B1,155,1,4,151,0.641025641,2.564102564,96.79487179,156,1.00E+04,20,"31,200,000"
3,DDD,P2-C1,587,126,1,586,17.67180926,0.1402524544,82.18793829,713,1.00E+04,20,"142,600,000"
4,AAAA,A1,213,0,117,96,0,54.92957746,45.07042254,213,1.00E+04,20,"42,600,000"
4,EEEE,A5,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,1.00E+04,20,0
4,BDBD,P2H1,418,182,15,403,30.33333333,2.5,67.16666667,600,1.00E+04,20,"120,000,000"
4,BDBC,P2G1,444,0,345,99,0,77.7027027,22.2972973,444,1.00E+04,20,"88,800,000"
4,DDDD,P2B9,692,0,0,692,0,0,100,692,1.00E+04,20,"138,400,000"
4,BDBB,P2F1,551,89,337,214,13.90625,52.65625,33.4375,640,1.00E+04,20,"128,000,000"
4,DDBB,H1,223,7,154,69,3.043478261,66.95652174,30,230,1.00E+04,20,"46,000,000"
4,BDDD,P2H9,224,111,5,219,33.13432836,1.492537313,65.37313433,335,1.00E+04,20,"67,000,000"
4,DDDC,P2A9,322,0,1,321,0,0.3105590062,99.68944099,322,1.00E+04,20,"64,400,000"
4,DDBC,P2A1,213,0,117,96,0,54.92957746,45.07042254,213,1.00E+04,20,"42,600,000"
4,DDBD,P2B1,1683,82,2,1681,4.645892351,0.1133144476,95.2407932,1765,1.00E+04,20,"353,000,000"
4,BBDB,B9,241,225,42,199,48.2832618,9.012875536,42.70386266,466,1.00E+04,20,"93,200,000"
4,BBDD,D9,642,59,0,642,8.416547789,0,91.58345221,701,1.00E+04,20,"140,200,000"
4,BBDC,C9,1153,2,31,1122,0.1731601732,2.683982684,97.14285714,1155,1.00E+04,20,"231,000,000"
5,AAAAA,A1,1029,0,27,1002,0,2.623906706,97.37609329,1029,1.00E+04,20,"205,800,000"
