day,traj,well_inoculation,well_OD,time,replica,medio_anterior,media,OD,ODblank
1,A,A1,A1,24,1,LFM,LFM,0.357,0.268
1,A,A2,A2,24,2,LFM,LFM,0.357,0.268
1,A,A3,A3,24,3,LFM,LFM,0.317,0.228
1,A,A4,A4,24,4,LFM,LFM,0.322,0.233
1,B,B1,B1,24,1,LF,LF,0.326,0.237
1,B,B2,B2,24,2,LF,LF,0.328,0.239
1,B,B3,B3,24,3,LF,LF,0.469,0.38
1,B,B4,B4,24,4,LF,LF,0.337,0.248
1,C,C1,C1,24,1,LM,LM,0.366,0.277
1,C,C2,C2,24,2,LM,LM,0.368,0.279
1,C,C3,C3,24,3,LM,LM,0.364,0.275
1,C,C4,C4,24,4,LM,LM,0.363,0.274
1,D,D1,D1,24,1,FM,FM,0.353,0.264
1,D,D2,D2,24,2,FM,FM,0.352,0.263
1,D,D3,D3,24,3,FM,FM,0.376,0.287
1,D,D4,D4,24,4,FM,FM,0.363,0.274
1,E,E1,E1,24,1,M9,M9,0.166,0.077
1,E,E2,E2,24,2,M9,M9,0.195,0.106
1,E,E3,E3,24,3,M9,M9,0.18,0.091
1,E,E4,E4,24,4,M9,M9,0.175,0.086
2,AA,A1,A1,48,1,LFM,LFM,0.331,0.242
2,AA,A2,A2,48,2,LFM,LFM,0.259,0.17
2,AA,A3,A3,48,3,LFM,LFM,0.316,0.227
2,AA,A4,A4,48,4,LFM,LFM,0.316,0.227
2,BB,B1,B1,48,1,LF,LF,0.293,0.204
2,BB,B2,B2,48,2,LF,LF,0.283,0.194
2,BB,B3,B3,48,3,LF,LF,0.304,0.215
2,BB,B4,B4,48,4,LF,LF,0.327,0.238
2,BC,C1,B5,48,1,LM,LF,0.313,0.224
2,BC,C2,B6,48,2,LM,LF,0.306,0.217
2,BC,C3,B7,48,3,LM,LF,0.3,0.211
2,BC,C4,B8,48,4,LM,LF,0.306,0.217
2,BD,D1,B9,48,1,FM,LF,0.34,0.251
2,BD,D2,B10,48,2,FM,LF,0.366,0.277
2,BD,D3,B11,48,3,FM,LF,0.398,0.309
2,BD,D4,B12,48,4,FM,LF,0.316,0.227
2,CC,C1,C1,48,1,LM,LM,0.321,0.232
2,CC,C2,C2,48,2,LM,LM,0.41,0.321
2,CC,C3,C3,48,3,LM,LM,0.402,0.313
2,CC,C4,C4,48,4,LM,LM,0.383,0.294
2,BC,B1,C5,48,1,LF,LM,0.336,0.247
2,BC,B2,C6,48,2,LF,LM,0.335,0.246
2,BC,B3,C7,48,3,LF,LM,0.365,0.276
2,BC,B4,C8,48,4,LF,LM,0.326,0.237
2,DC,D1,C9,48,1,FM,LM,0.416,0.327
2,DC,D2,C10,48,2,FM,LM,0.375,0.286
2,DC,D3,C11,48,3,FM,LM,0.422,0.333
